 JDAY =    49.1378851548548     
QIN(JB):,.530000,.000000,.000000,.000000,
QTR:,.000000,.000000,.000000,
QDT(JB):,.000000,.000000,.000000,.000000,
QWD:,
QSUM(JB):,.000000,.000000,.000000,.000000,
QGT:,
QPI:,
QPU:,
QSP:,

SEG,BRANCH,ACTIVE,KT,WSE,SZ,Z,Q,QC,QERR,H2KT,H1KT,BHR1,BHR2,T1,T2,SUKT,UKT,AVHR,SELWS
133,1,A,10,.000207,-.100182,-.100207,.806041,.806013,.003405,.200182,.200207,6.036700,6.035689,17.610315,17.610315,.104032,.104032,.199721,.000182
134,1,A,10,-.000764,-.099208,-.099236,.790541,.790461,.010104,.199208,.199236,4.855223,4.854073,17.611395,17.611395,.140846,.140610,.197895,-.000792
135,1,A,10,-.003445,-.096509,-.096555,.771590,.771521,.008918,.196509,.196555,5.643736,5.642309,17.612128,17.612128,.126371,.126171,.195667,-.003491
136,1,A,10,-.005220,-.094734,-.094780,.746012,.747631,-.216986,.194734,.194780,7.078674,7.077313,17.612998,17.612998,.088634,.088540,.194815,-.005266
137,1,A,10,-.005150,-.094820,-.094850,.730706,.730696,.001338,.194820,.194850,8.006868,8.006011,17.614152,17.614152,.066620,.066594,.194817,-.005180
138,1,A,10,-.005217,-.094770,-.094783,.721939,.721915,.003199,.194770,.194783,8.505379,8.505149,17.615488,17.615488,.062426,.062477,.194664,-.005230
139,1,A,10,-.005455,-.094548,-.094545,.723842,.723800,.005793,.194548,.194545,10.349193,10.349753,17.616684,17.616684,.053449,.053572,.194358,-.005452
140,1,A,10,-.005830,-.094186,-.094170,.738780,.738738,.005735,.194186,.194170,9.845987,9.847105,17.617984,17.617984,.059091,.059281,.193935,-.005814
141,1,A,10,-.006300,-.093726,-.093700,.757391,.757334,.007576,.193726,.193700,8.740600,8.742123,17.618688,17.618688,.063648,.063846,.193325,-.006274
142,1,A,10,-.007049,-.092986,-.092951,.784439,.784418,.002699,.192986,.192951,11.119069,11.121209,17.619297,17.619297,.050149,.050269,.192818,-.007014
143,1,A,10,-.007314,-.092722,-.092686,.821535,.821530,.000699,.192722,.192686,14.055314,14.057932,17.619703,17.619703,.040438,.040484,.192625,-.007278
144,1,A,10,-.007435,-.092599,-.092565,.862972,.862983,-.001230,.192599,.192565,16.862255,16.865014,17.619779,17.619779,.035717,.035708,.192558,-.007401
145,1,A,10,-.007449,-.092580,-.092551,.904280,.904298,-.001988,.192580,.192551,15.034352,15.036488,17.619681,17.619681,.041057,.040997,.192568,-.007420
146,1,A,10,-.007415,-.092609,-.092585,.927034,.927047,-.001456,.192609,.192585,15.028673,15.030125,17.619433,17.619433,.042346,.042263,.192579,-.007391
147,1,A,10,-.007427,-.092588,-.092573,.947844,.947874,-.003141,.192588,.192573,18.979762,18.980720,17.618931,17.618931,.036734,.036661,.192617,-.007412
148,1,A,10,-.007340,-.092665,-.092660,.955726,.955781,-.005799,.192665,.192660,19.229381,19.229132,17.618262,17.618262,.036074,.036004,.192708,-.007335
149,1,A,10,-.007244,-.092745,-.092756,.940351,.940405,-.005806,.192745,.192756,18.094315,18.092095,17.617603,17.617603,.037961,.037885,.192786,-.007255
