$,
JDAY,     TDH
-2.412499873,8
-2.408333206,8
-2.404166539,8
-2.399999872,8
-2.395833205,8
-2.391666538,8
-2.387499871,8
-2.383333204,8
-2.379166537,8
-2.37499987,8
-2.370833203,8
-2.366666536,8
-2.362499869,8
-2.358333202,8
-2.354166535,8
-2.349999868,8
-2.345833201,8
-2.341666534,8
-2.337499867,8
-2.3333332,8
-2.329166533,8
-2.324999866,8
-2.320833199,8
-2.316666532,8
-2.312499865,8
-2.308333198,8
-2.304166531,8
-2.299999864,8
-2.295833197,8
-2.29166653,8
-2.287499863,8
-2.283333196,8
-2.279166529,8
-2.274999862,8
-2.270833195,8
-2.266666528,8
-2.262499861,8
-2.258333194,8
-2.254166527,8
-2.24999986,8
-2.245833193,8
-2.241666526,8
-2.237499859,8
-2.233333192,8
-2.229166525,8
-2.224999858,8
-2.220833191,8
-2.216666524,8
-2.212499857,8
-2.20833319,8
-2.204166523,8
-2.199999856,8
-2.195833189,8
-2.191666522,8
-2.187499855,8
-2.183333188,8
-2.179166521,8
-2.174999854,8
-2.170833187,8
-2.16666652,8
-2.162499853,8
-2.158333186,8
-2.154166519,8
-2.149999852,8
-2.145833185,8
-2.141666518,8
-2.137499851,8
-2.133333184,8
-2.129166517,8
-2.12499985,8
-2.120833183,8
-2.116666516,8
-2.112499849,8
-2.108333182,8
-2.104166515,8
-2.099999848,8
-2.095833181,8
-2.091666514,8
-2.087499847,8
-2.08333318,8
-2.079166513,8
-2.074999846,8
-2.070833179,8
-2.066666512,8
-2.062499845,8
-2.058333178,8
-2.054166511,8
-2.049999844,8
-2.045833177,8
-2.04166651,8
-2.037499843,8
-2.033333176,8
-2.029166509,8
-2.024999842,8
-2.020833175,8
-2.016666508,8
-2.012499841,8
-2.008333174,8
-2.004166507,8
-1.99999984,8
-1.995833173,8
-1.991666506,8
-1.987499839,8
-1.983333172,8
-1.979166505,8
-1.974999838,8
-1.970833171,8
-1.966666504,8
-1.962499837,8
-1.95833317,8
-1.954166503,8
-1.949999836,8
-1.945833169,8
-1.941666502,8
-1.937499835,8
-1.933333168,8
-1.929166501,8
-1.924999834,8
-1.920833167,8
-1.9166665,8
-1.912499833,8
-1.908333166,8
-1.904166499,8
-1.899999832,8
-1.895833165,8
-1.891666498,8
-1.887499831,8
-1.883333164,8
-1.879166497,8
-1.87499983,8
-1.870833163,8
-1.866666496,8
-1.862499829,8
-1.858333162,8
-1.854166495,8
-1.849999828,8
-1.845833161,8
-1.841666494,8
-1.837499827,8
-1.83333316,8
-1.829166493,8
-1.824999826,8
-1.820833159,8
-1.816666492,8
-1.812499825,8
-1.808333158,8
-1.804166491,8
-1.799999824,8
-1.795833157,8
-1.79166649,8
-1.787499823,8
-1.783333156,8
-1.779166489,8
-1.774999822,8
-1.770833155,8
-1.766666488,8
-1.762499821,8
-1.758333154,8
-1.754166487,8
-1.74999982,8
-1.745833153,8
-1.741666486,8
-1.737499819,8
-1.733333152,8
-1.729166485,8
-1.724999818,8
-1.720833151,8
-1.716666484,8
-1.712499817,8
-1.70833315,8
-1.704166483,8
-1.699999816,8
-1.695833149,8
-1.691666482,8
-1.687499815,8
-1.683333148,8
-1.679166481,8
-1.674999814,8
-1.670833147,8
-1.66666648,8
-1.662499813,8
-1.658333146,8
-1.654166479,8
-1.649999812,8
-1.645833145,8
-1.641666478,8
-1.637499811,8
-1.633333144,8
-1.629166477,8
-1.62499981,8
-1.620833143,8
-1.616666476,8
-1.612499809,8
-1.608333142,8
-1.604166475,8
-1.599999808,8
-1.595833141,8
-1.591666474,8
-1.587499807,8
-1.58333314,8
-1.579166473,8
-1.574999806,8
-1.570833139,8
-1.566666472,8
-1.562499805,8
-1.558333138,8
-1.554166471,8
-1.549999804,8
-1.545833137,8
-1.54166647,8
-1.537499803,8
-1.533333136,8
-1.529166469,8
-1.524999802,8
-1.520833135,8
-1.516666468,8
-1.512499801,8
-1.508333134,8
-1.504166467,8
-1.4999998,8
-1.495833133,8
-1.491666466,8
-1.487499799,8
-1.483333132,8
-1.479166465,8
-1.474999798,8
-1.470833131,8
-1.466666464,8
-1.462499797,8
-1.45833313,8
-1.454166463,8
-1.449999796,8
-1.445833129,8
-1.441666462,8
-1.437499795,8
-1.433333128,8
-1.429166461,8
-1.424999794,8
-1.420833127,8
-1.41666646,8
-1.412499793,8
-1.408333126,8
-1.404166459,8
-1.399999792,8
-1.395833125,8
-1.391666458,8
-1.387499791,8
-1.383333124,8
-1.379166457,8
-1.37499979,8
-1.370833123,8
-1.366666456,8
-1.362499789,8
-1.358333122,8
-1.354166455,8
-1.349999788,8
-1.345833121,8
-1.341666454,8
-1.337499787,8
-1.33333312,8
-1.329166453,8
-1.324999786,8
-1.320833119,8
-1.316666452,8
-1.312499785,8
-1.308333118,8
-1.304166451,8
